Sequência;Data oficial;Ofício (antigo);Título;Tipo;Órgão;Ofícios;Cidade;Situação;Criador
3097;14/12/2024;;PRONAS - Elaboração do Projeto, Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Boa Esperança do Iguaçu - PR;Atendida;Lucilene Marques
3096;09/12/2025;;MENÇÃO HONROSA EM HOMENAGEM AOS EXCELENTÍSSIMOS SENHORES SECRETÁRIOS DE ESTADO.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3095;14/12/2024;;PRONAS - Elaboração do Projeto, Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Icaraíma - PR;Atendida;Lucilene Marques
3094;10/02/2026;;Reforma quadra;1º Setor;Secretaria de Estado das Cidades - SECID;;Adrianópolis - PR;Recebida;Maria Fatima
3093;09/12/2025;;MENÇÃO HONROSA EM “HOMENAGEM AOS PRESIDENTES E DIRETORES DAS APAES, DA FEBIEX/PR E ORGANIZAÇÕES DE ATENDIMENTO À PESSOA COM DEFICIÊNCIA;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3092;02/12/2025;;MENÇÃO HONROSA HOMENAGEM AOS PRES. E DIR. DAS APAES, DA FEBIEX/PR E ORGANIZAÇÕES  À PESSOA COM DEFICIÊNCIA;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3091;25/11/2025;;MENÇÃO HONROSA EM HOMENAGEM AOS “PROFISSIONAIS E COLABORADORES DA FEDERAÇÃO ESTADUAL DAS INSTITUIÇÕES DE REABILITAÇÃO DO PARANÁ – FEBIEX/PR”;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3090;19/11/2025;;MENÇÃO HONROSA EM HOMENAGEM A “FEDERAÇÃO ESTADUAL DAS INSTITUIÇÕES DE REABILITAÇÃO DO PARANÁ – FEBIEX/PR;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3089;19/11/2025;;MENÇÃO HONROSA EM HOMENAGEM AOS “PROFISSIONAIS E COLABORADORES DA FEDERAÇÃO ESTADUAL DAS INSTITUIÇÕES DE REABILITAÇÃO DO PARANÁ – FEBIEX/PR”;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3088;10/11/2025;;VOTO DE CONGRATULAÇÃO COM O CERTIFICADO DE MENÇÃO HONROSA EM “HOMENAGEM AOS 40 ANOS DE FUNDAÇÃO DA APAE DE IPORÃ”.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3087;10/11/2025;;VOTO DE PESAR ÀS FAMÍLIAS ENLUTADAS PELAS SEIS MORTES CONFIRMADAS EM DECORRÊNCIA DO TORNADO QUE ATINGIU O ESTADO DO PARANÁ.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3086;03/11/2025;;MENÇÃO HONROSA EM HOMENAGEM AOS “PROFISSIONAIS DE ENFERMAGEM QUE INTEGRAM A COOENF/PR.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3085;20/10/2025;;MENÇÃO HONROSA À FEDERAÇÃO DAS APAES DO ESTADO DO PARANÁ – FEAPAES;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3084;20/10/2025;;MENÇÃO HONROSA EM HOMENAGEM AO SENHOR GUSTAVO CHAVES BRANDÃO.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3083;20/10/2025;;MENÇÃO HONROSA AO SENHOR HÉLIO RENATO WIRBISKI.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3082;20/10/2025;;MENÇÃO HONROSA AO SENHOR WALMIR DA SILVA MATOS.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3081;20/10/2025;;MENÇÃO HONROSA AO SENHOR, ROGÉRIO CARBONI,;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3080;09/02/2026;;Materiais Esportivos;1º Setor;Secretaria de Estado do Esporte - SEES;;Apucarana - PR;Priorizar;Maria Fatima
3079;20/10/2025;;MENÇÃO HONROSA AO SENHOR NORBERTO ANACLETO ORTIGARA.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3078;07/10/2025;;MENÇÃO HONROSA À ALINE ÂNGELA BIOLCHI, MISS PARANÁ 2024.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3077;16/05/2023;;Creche Padrão CMEI - Bairro Harmonia;1º Setor;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;;;Priorizar;Maria Fatima
3076;06/10/2025;;MENÇÕES HONROSAS EM HOMENAGEM AOS PROFESSORES DAS ESCOLAS ESPECIALIZADAS.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3074;16/09/2025;;MENÇÃO HONROSA À ATLETA MIKAELA FREGONESE.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Siqueira Campos - PR;Aberto;Sylvana Zeballos
3073;16/09/2025;;Menção Honrosa em Homenagem pelos 52 anos do Grupo Beal/Rede Festval. / Menção Honrosa em Homenagem pelos 50 anos da Rede Condor;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3072;06/02/2026;;Equipamentos Hospital Municipal do Idoso;1º Setor;;;Curitiba - PR;Priorizar;Maria Fatima
3071;14/12/2023;;PRONAS - Elaboração do Projeto, Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Saudade do Iguaçu - PR;Atendida;Lucilene Marques
3070;14/12/2023;;PRONAS - Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Douradina - PR;Atendida;Lucilene Marques
